Palabra clave de la Búsqueda,Tipo de concordancia,Estado del criterio,Estado de la campaña,Estado del grupo de anuncios,Costo,Clics,CTR
mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP53,087",255,6.89%
yerba mate,Concordancia de frase,Habilitado,Habilitado,Habilitado,"CLP50,846",270,4.36%
bombilla mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP48,106",300,7.53%
bolso matero,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP43,271",178,8.81%
comprar yerba mate,Concordancia de frase,Habilitado,Habilitado,Habilitado,"CLP39,987",184,5.60%
cosas nuestras,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP16,037",407,40.50%
matero,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP14,825",70,6.52%
yerba mate chile,Concordancia de frase,Habilitado,Habilitado,Habilitado,"CLP14,396",84,8.05%
comprar mate y bombilla,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP11,220",44,10.58%
articulos para mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP9,738",45,6.36%
mate calabaza,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP9,588",63,6.83%
termo,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP9,527",71,5.91%
yerba mate pedir,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP8,692",30,3.19%
terere,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP7,402",44,5.81%
bolso para mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP6,300",31,8.16%
mate termo,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP5,335",24,12.57%
mate con bombilla,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP4,788",24,7.06%
mate de calabaza,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP3,790",21,11.67%
bombilla acero inoxidable,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP3,691",26,9.29%
bolsos materos,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP2,964",11,7.53%
cosas nuestras cl,Concordancia exacta,Habilitado,Habilitado,Habilitado,"CLP2,932",177,47.84%
buen pastor mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP2,761",14,3.64%
yerba para mate,Concordancia de frase,Habilitado,Habilitado,Habilitado,"CLP2,346",14,3.44%
mate argentino,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP2,269",9,3.57%
bombillas mate,Concordancia de frase,Habilitado,Habilitado,Habilitado,"CLP2,051",10,19.61%
bombillas de acero inoxidable,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP2,050",14,4.43%
bolsos para mate y termo,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,659",9,15.00%
mate y termo,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,638",11,5.64%
mate acero inoxidable,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,493",8,7.34%
mate imperial,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,485",10,6.85%
mate algarrobo,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,378",7,12.07%
bolsos para mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,300",7,10.14%
porta mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,222",9,4.17%
bombilla para tomar mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,209",6,4.08%
mochila para mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,148",5,15.15%
bombilla y mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,"CLP1,021",7,7.87%
mate criollo,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP864,4,5.97%
mundo mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP847,3,25.00%
mates imperiales,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP791,5,31.25%
mate autocebante,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP789,3,4.11%
termo agua,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP646,1,100.00%
yerba suave,Concordancia de frase,Habilitado,Habilitado,Habilitado,CLP629,3,3.75%
termo para mate con pico,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP621,3,8.11%
termos materos,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP565,2,10.53%
la bombilla yerba mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP533,3,3.45%
bombilla mate acero inoxidable,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP463,4,10.81%
bolso porta termo mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP456,3,50.00%
termo para tomar mate,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP452,2,25.00%
mate autocebante,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP397,2,2.44%
termo autocebante,Concordancia amplia,Habilitado,Habilitado,Habilitado,CLP381,1,8.33%
